Date,7/16/2018
Spectrometer,FLMS02587
Lamp SN,F1401
Int. Time(usec),350000
Average,0
Boxcar,0
Fiber (micron),7140
,
[uJoule/count],
487.6472,1.34E-05
488.0117,1.34E-05
488.3761,1.33E-05
488.7405,1.32E-05
489.1048,1.31E-05
489.4691,1.31E-05
489.8334,1.30E-05
490.1976,1.29E-05
490.5618,1.29E-05
490.9259,1.28E-05
491.29,1.27E-05
491.654,1.27E-05
492.018,1.26E-05
492.382,1.26E-05
492.7459,1.25E-05
493.1098,1.25E-05
493.4736,1.24E-05
493.8374,1.24E-05
494.2011,1.23E-05
494.5648,1.23E-05
494.9284,1.22E-05
495.2921,1.22E-05
495.6556,1.22E-05
496.0191,1.21E-05
496.3826,1.21E-05
496.746,1.21E-05
497.1094,1.20E-05
497.4728,1.20E-05
497.8361,1.20E-05
498.1993,1.19E-05
498.5625,1.19E-05
498.9257,1.19E-05
499.2888,1.19E-05
499.6519,1.18E-05
500.0149,1.18E-05
500.3779,1.18E-05
500.7408,1.18E-05
501.1038,1.18E-05
501.4666,1.18E-05
501.8294,1.17E-05
502.1922,1.17E-05
502.5549,1.17E-05
502.9176,1.17E-05
503.2802,1.17E-05
503.6428,1.17E-05
504.0054,1.17E-05
504.3679,1.16E-05
504.7303,1.16E-05
505.0928,1.16E-05
505.4551,1.16E-05
505.8175,1.16E-05
506.1798,1.16E-05
506.542,1.16E-05
506.9042,1.15E-05
507.2663,1.15E-05
507.6285,1.15E-05
507.9905,1.15E-05
508.3525,1.15E-05
508.7145,1.15E-05
509.0764,1.15E-05
509.4383,1.14E-05
509.8002,1.14E-05
510.162,1.14E-05
510.5237,1.14E-05
510.8854,1.14E-05
511.2471,1.14E-05
511.6087,1.14E-05
511.9703,1.13E-05
512.3318,1.13E-05
512.6933,1.13E-05
513.0548,1.13E-05
513.4162,1.13E-05
513.7775,1.13E-05
514.1388,1.13E-05
514.5001,1.12E-05
514.8613,1.12E-05
515.2225,1.12E-05
515.5837,1.12E-05
515.9447,1.12E-05
516.3058,1.12E-05
516.6668,1.11E-05
517.0277,1.11E-05
517.3887,1.11E-05
517.7495,1.11E-05
518.1103,1.11E-05
518.4711,1.11E-05
518.8319,1.10E-05
519.1926,1.10E-05
519.5532,1.10E-05
519.9138,1.10E-05
520.2744,1.10E-05
520.6349,1.10E-05
520.9953,1.10E-05
521.3558,1.10E-05
521.7161,1.09E-05
522.0765,1.09E-05
522.4368,1.09E-05
522.797,1.09E-05
523.1572,1.09E-05
523.5174,1.09E-05
523.8775,1.08E-05
524.2375,1.08E-05
524.5976,1.08E-05
524.9575,1.08E-05
525.3175,1.08E-05
525.6774,1.08E-05
526.0372,1.07E-05
526.397,1.07E-05
526.7567,1.07E-05
527.1165,1.07E-05
527.4761,1.07E-05
527.8357,1.07E-05
528.1953,1.07E-05
528.5548,1.07E-05
528.9143,1.07E-05
529.2738,1.07E-05
529.6332,1.06E-05
529.9925,1.06E-05
530.3518,1.06E-05
530.7111,1.06E-05
531.0703,1.06E-05
531.4295,1.06E-05
531.7886,1.06E-05
532.1477,1.06E-05
532.5067,1.06E-05
532.8657,1.06E-05
533.2246,1.06E-05
533.5835,1.06E-05
533.9424,1.06E-05
534.3012,1.06E-05
534.66,1.06E-05
535.0187,1.06E-05
535.3774,1.06E-05
535.736,1.06E-05
536.0946,1.06E-05
536.4531,1.06E-05
536.8116,1.06E-05
537.1701,1.06E-05
537.5285,1.06E-05
537.8868,1.06E-05
538.2452,1.06E-05
538.6034,1.06E-05
538.9617,1.06E-05
539.3198,1.06E-05
539.678,1.06E-05
540.0361,1.06E-05
540.3941,1.06E-05
540.7521,1.06E-05
541.1101,1.06E-05
541.468,1.06E-05
541.8258,1.06E-05
542.1837,1.06E-05
542.5414,1.06E-05
542.8992,1.06E-05
543.2568,1.06E-05
543.6145,1.06E-05
543.9721,1.06E-05
