Wavelength (nm),Counts
569.245,49169.4
569.599,49588.88
569.953,49911.55
570.308,50013.32
570.662,49683.2
571.016,49678.23
571.37,49809.78
571.724,49732.84
572.078,49712.98
572.432,50070.4
572.786,50256.56
573.14,50137.42
573.494,50149.83
573.847,50144.87
574.201,50060.48
574.555,49784.96
574.908,49963.67
575.262,49971.12
575.615,50271.45
575.969,50571.79
576.322,50551.93
576.676,50085.3
577.029,50551.93
577.382,49986.01
577.736,50564.34
578.089,50276.42
578.442,50221.81
578.795,50231.74
579.148,50390.6
579.501,50216.85
579.854,50043.1
580.207,49762.62
580.56,50050.55
580.913,49891.69
581.265,50147.35
581.618,49837.09
581.971,49961.19
582.324,49966.16
582.676,49822.19
583.029,49273.65
583.381,49809.78
583.734,50020.76
584.086,49745.25
584.438,49653.41
584.791,49502
585.143,48975.8
585.495,49509.45
585.847,49688.16
586.2,49623.63
586.552,49060.19
586.904,49288.54
587.256,49348.11
587.608,49055.22
587.959,49161.95
588.311,48759.85
588.663,48754.89
589.015,48730.07
589.367,48851.69
589.718,48658.09
590.07,49052.74
590.421,48236.13
590.773,48114.51
591.124,48337.9
591.476,48012.74
591.827,48097.13
592.179,47866.3
592.53,48134.36
592.881,48365.2
593.232,47918.42
593.584,47196.13
593.935,47995.37
594.286,47995.37
594.637,47628.01
594.988,47106.77
595.339,47938.28
595.689,47767.01
596.04,47910.97
596.391,47960.62
596.742,47203.57
597.092,47503.91
597.443,47245.77
597.794,47541.14
598.144,47287.97
598.495,47757.08
598.845,47287.97
599.196,47878.71
599.546,47980.47
599.896,46925.58
600.247,47121.66
600.597,47506.39
600.947,47543.62
601.297,47660.28
601.647,47762.05
601.997,47682.62
602.347,47729.78
602.697,47392.21
603.047,47603.19
603.397,47744.67
603.747,47585.82
604.096,47618.09
604.446,47791.83
604.796,48022.67
605.145,48102.1
605.495,47714.89
605.844,48238.61
606.194,48077.27
606.543,48017.7
606.893,48504.2
607.242,48593.55
607.591,48375.13
607.94,48417.32
608.29,48337.9
608.639,48511.64
608.988,48387.54
609.337,48397.47
609.686,49263.72
610.035,49462.29
610.384,49802.34
610.733,49968.64
611.081,49397.75
611.43,49914.03
611.779,49586.39
612.127,49509.45
612.476,49353.08
612.825,49593.84
613.173,49410.16
613.522,49658.37
613.87,49209.11
614.218,49576.47
614.567,49186.78
614.915,49670.79
615.263,49730.36
615.611,49504.48
615.96,49534.27
616.308,49241.38
616.656,49770.07
617.004,49571.5
617.352,49434.99
617.7,49717.95
618.047,49367.97
618.395,49283.58
618.743,49487.11
619.091,49459.81
619.438,49864.39
619.786,49236.42
620.134,49397.75
620.481,49817.23
620.829,49452.36
621.176,49191.74
621.523,49598.8
621.871,49812.27
622.218,49179.33
622.565,49199.19
622.912,49318.33
623.259,49134.65
623.607,49266.2
623.954,49261.24
624.301,49345.63
624.648,48690.35
624.994,49526.82
625.341,48953.46
625.688,49129.69
626.035,48789.64
626.382,48759.85
626.728,48551.36
627.075,48236.13
627.421,48625.82
627.768,48184
628.114,48025.15
628.461,48054.94
628.807,48015.22
629.154,47853.89
629.5,47945.72
629.846,47737.23
630.192,47399.66
630.538,47474.12
630.884,47124.15
631.231,47364.91
631.577,46803.95
631.922,47042.24
632.268,46731.97
632.614,46178.46
632.96,46538.37
633.306,45984.86
633.651,46153.64
633.997,45823.52
634.343,45716.79
634.688,45498.37
635.034,45098.75
635.379,45461.14
635.725,44843.09
636.07,44790.97
636.415,44369.01
636.761,44202.71
637.106,44269.73
637.451,43813.02
637.796,43696.36
638.141,43142.85
638.486,43492.83
638.831,42874.78
639.176,43043.57
639.521,42966.62
639.866,42529.77
640.211,42125.19
640.555,41586.57
640.9,41417.79
641.245,41464.95
641.589,41231.63
641.934,41221.7
642.278,41172.06
642.623,40526.71
642.967,40424.95
643.312,39821.8
643.656,39285.66
644,39782.08
644.344,39280.7
644.689,39121.84
645.033,38977.88
645.377,38938.17
645.721,38734.63
646.065,38121.55
646.409,38419.41
646.753,37836.11
647.096,37448.9
647.44,37669.81
647.784,36987.23
648.128,36475.92
648.471,36515.63
648.815,36560.31
649.158,36026.66
649.502,35897.59
649.845,36262.46
650.189,35731.29
650.532,35421.02
